IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.48.50,4,4,0.00,1.76,258.44,SJC
104.24.32.219,4,4,0.00,1.78,257.56,SJC
172.67.113.158,4,4,0.00,1.79,255.37,SJC
104.21.35.54,4,4,0.00,1.75,251.08,SJC
104.24.24.79,4,4,0.00,1.77,247.26,SJC
104.27.202.44,4,4,0.00,1.78,245.54,SJC
104.24.26.227,4,4,0.00,1.78,239.58,SJC
104.24.46.164,4,4,0.00,1.79,239.35,SJC
104.24.49.209,4,4,0.00,1.75,239.10,SJC
104.24.69.218,4,4,0.00,1.78,238.02,SJC
104.21.56.173,4,4,0.00,1.77,237.88,SJC
172.64.84.5,4,4,0.00,1.79,237.50,SJC
104.21.68.9,4,4,0.00,1.79,235.84,SJC
104.21.55.91,4,4,0.00,1.76,235.45,SJC
172.67.108.161,4,4,0.00,1.75,234.91,SJC
172.64.151.251,4,4,0.00,1.79,234.00,SJC
104.24.77.181,4,4,0.00,1.80,232.75,SJC
104.21.30.214,4,4,0.00,1.78,232.66,SJC
172.64.32.106,4,4,0.00,1.79,231.38,SJC
104.24.54.73,4,4,0.00,1.78,230.19,SJC
172.67.120.163,4,4,0.00,1.78,226.70,SJC
104.24.23.243,4,4,0.00,1.75,226.15,SJC
172.64.35.156,4,4,0.00,1.79,222.98,SJC
104.27.193.25,4,4,0.00,1.78,219.00,SJC
172.64.50.7,4,4,0.00,1.78,217.53,SJC
104.24.38.214,4,4,0.00,1.79,216.25,SJC
104.24.87.150,4,4,0.00,1.76,213.43,SJC
172.64.150.145,4,4,0.00,1.79,213.28,SJC
104.21.15.108,4,4,0.00,1.77,209.63,SJC
172.64.33.31,4,4,0.00,1.75,201.36,SJC
104.25.19.202,4,4,0.00,4.45,0.00,N/A
104.17.224.218,4,4,0.00,4.58,0.00,N/A
172.65.6.126,4,4,0.00,1.74,0.00,N/A
172.65.193.108,4,4,0.00,1.74,0.00,N/A
172.65.23.53,4,4,0.00,1.75,0.00,N/A
172.64.100.213,4,4,0.00,1.75,0.00,N/A
172.65.80.48,4,4,0.00,1.75,0.00,N/A
172.65.77.190,4,4,0.00,1.75,0.00,N/A
172.65.82.170,4,4,0.00,1.76,0.00,N/A
172.65.34.150,4,4,0.00,1.74,0.00,N/A
104.21.6.125,4,4,0.00,1.74,0.00,N/A
172.65.189.190,4,4,0.00,1.73,0.00,N/A
172.65.83.127,4,4,0.00,1.76,0.00,N/A
172.65.53.46,4,4,0.00,1.76,0.00,N/A
172.65.28.106,4,4,0.00,1.76,0.00,N/A
172.65.12.239,4,4,0.00,1.76,0.00,N/A
172.65.79.124,4,4,0.00,1.76,0.00,N/A
172.65.169.159,4,4,0.00,1.76,0.00,N/A
172.65.147.183,4,4,0.00,1.76,0.00,N/A
172.65.25.4,4,4,0.00,1.76,0.00,N/A
172.65.67.110,4,4,0.00,1.76,0.00,N/A
172.65.89.178,4,4,0.00,1.77,0.00,N/A
172.65.3.141,4,4,0.00,1.73,0.00,N/A
172.65.188.32,4,4,0.00,1.77,0.00,N/A
172.64.89.49,4,4,0.00,1.73,0.00,N/A
104.24.80.233,4,4,0.00,1.73,0.00,N/A
172.65.42.192,4,4,0.00,1.77,0.00,N/A
172.65.36.2,4,4,0.00,1.78,0.00,N/A
172.64.37.75,4,4,0.00,1.73,0.00,N/A
172.65.2.238,4,4,0.00,1.78,0.00,N/A
172.65.229.38,4,4,0.00,1.73,0.00,N/A
172.65.205.64,4,4,0.00,1.78,0.00,N/A
172.64.47.52,4,4,0.00,1.72,0.00,N/A
172.65.84.27,4,4,0.00,1.78,0.00,N/A
172.65.204.130,4,4,0.00,1.78,0.00,N/A
172.65.40.228,4,4,0.00,1.78,0.00,N/A
172.65.180.61,4,4,0.00,1.72,0.00,N/A
172.65.29.166,4,4,0.00,1.72,0.00,N/A
172.67.223.106,4,4,0.00,1.72,0.00,N/A
104.24.39.172,4,4,0.00,1.71,0.00,N/A
172.65.0.175,4,4,0.00,1.71,0.00,N/A
104.24.56.34,4,4,0.00,1.71,0.00,N/A
172.65.85.171,4,4,0.00,1.79,0.00,N/A
172.64.53.118,4,4,0.00,1.70,0.00,N/A
162.159.141.146,4,4,0.00,1.70,0.00,N/A
172.65.87.180,4,4,0.00,1.79,0.00,N/A
172.64.38.206,4,4,0.00,1.69,0.00,N/A
172.65.248.21,4,4,0.00,1.79,0.00,N/A
104.21.80.19,4,4,0.00,1.68,0.00,N/A
104.24.78.176,4,4,0.00,1.68,0.00,N/A
172.64.146.5,4,4,0.00,1.68,0.00,N/A
104.21.22.126,4,4,0.00,1.68,0.00,N/A
172.64.98.12,4,4,0.00,1.68,0.00,N/A
172.65.239.96,4,4,0.00,1.67,0.00,N/A
